id,neighbourhood,LAT_LONG
0,Upper West Side,"40.79901, -73.96135"
1,Upper West Side,"40.78, -73.98249"
2,Washington Heights,"40.85604, -73.93469"
3,Harlem,"40.82501, -73.95125"
4,Harlem,"40.80131, -73.9579"
5,Murray Hill,"40.7474, -73.97847"
6,Midtown,"40.75513, -73.96446"
7,Harlem,"40.80389, -73.95712"
8,Harlem,"40.82624, -73.9434"
9,Murray Hill,"40.746, -73.9777"
10,Hell's Kitchen,"40.76123, -73.99084"
11,West Village,"40.73303, -74.00237"
12,Chelsea,"40.74415, -73.99483"
13,Upper East Side,"40.76703, -73.95553"
14,Harlem,"40.8041, -73.956"
15,East Village,"40.72852, -73.98705"
16,Upper East Side,"40.77427, -73.95325"
17,Upper East Side,"40.76236, -73.96482"
18,Theater District,"40.75569, -73.98933"
19,East Village,"40.72841, -73.98615"
20,East Village,"40.73259, -73.98681"
21,Upper West Side,"40.78885, -73.98013"
22,East Harlem,"40.79658, -73.93284"
23,Washington Heights,"40.84176, -73.93738"
24,Harlem,"40.81195, -73.95274"
25,Midtown,"40.74823, -73.98697"
26,Upper West Side,"40.78334, -73.97927"
27,Upper West Side,"40.77918, -73.9874"
28,Theater District,"40.76369, -73.98476"
29,Midtown,"40.75032, -73.97143"
30,West Village,"40.73183, -74.00649"
31,West Village,"40.73303, -74.005"
32,Hell's Kitchen,"40.76183, -73.9916"
33,Midtown,"40.75976, -73.97178"
34,Gramercy,"40.73568, -73.98062"
35,Upper East Side,"40.76917, -73.95367"
36,Lower East Side,"40.72046, -73.99237"
37,Chinatown,"40.71515, -73.99863"
38,Chelsea,"40.74453, -73.99988"
39,Chelsea,"40.74011, -73.99829"
40,Gramercy,"40.73711, -73.98573"
41,Chinatown,"40.71759, -73.9922"
42,Midtown,"40.74624, -73.98648"
43,Upper West Side,"40.7681, -73.98377"
44,Kips Bay,"40.73763, -73.97284"
45,Lower East Side,"40.72081, -73.98461"
46,Upper East Side,"40.7843, -73.95745"
47,Greenwich Village,"40.73357, -73.99767"
48,East Village,"40.72591, -73.97947"
49,Upper East Side,"40.77654, -73.94904"
50,Stuyvesant Town,"40.73341, -73.98"
51,Morningside Heights,"40.8049, -73.96315"
52,SoHo,"40.72088, -74.00318"
53,Upper West Side,"40.79191, -73.97322"
54,Upper East Side,"40.76665, -73.95398"
55,Washington Heights,"40.84347, -73.93978"
56,Lower East Side,"40.72013, -73.98769"
57,West Village,"40.73143, -74.00338"
58,Midtown,"40.76554, -73.98289"
59,Upper West Side,"40.78892, -73.97402"
60,Greenwich Village,"40.73313, -73.9971"
61,Chelsea,"40.74405, -73.99915"
62,Midtown,"40.75282, -73.96688"
63,Midtown,"40.75606, -73.97004"
64,East Village,"40.72283, -73.98356"
65,East Harlem,"40.79889, -73.94489"
66,Flatiron District,"40.73996, -73.98972"
67,Hell's Kitchen,"40.76712, -73.98789"
68,East Village,"40.72792, -73.98718"
69,Harlem,"40.82476, -73.94332"
70,Morningside Heights,"40.80868, -73.95801"
71,Midtown,"40.74636, -73.98681"
72,Financial District,"40.70831, -74.00619"
73,Upper East Side,"40.77789, -73.95473"
74,Tribeca,"40.71979, -74.00407"
75,Inwood,"40.86364, -73.92835"
76,Theater District,"40.7607, -73.98347"
77,Upper East Side,"40.77877, -73.94824"
78,Lower East Side,"40.71757, -73.99028"
79,West Village,"40.73301, -74.00268"
80,Hell's Kitchen,"40.76008, -73.98846"
81,East Village,"40.72639, -73.98875"
82,Upper West Side,"40.77961, -73.98441"
83,SoHo,"40.72822, -74.00429"
84,Theater District,"40.75829, -73.98833"
85,Lower East Side,"40.71536, -73.98951"
86,Harlem,"40.80199, -73.95779"
87,Midtown,"40.75225, -73.97177"
88,Upper East Side,"40.76833, -73.96156"
89,Theater District,"40.7585, -73.98221"
90,Greenwich Village,"40.72844, -74.00025"
91,Murray Hill,"40.7473, -73.97603"
92,Chelsea,"40.74889, -73.99656"
93,Chelsea,"40.75044, -73.99665"
94,Upper East Side,"40.76996, -73.9539"
95,Harlem,"40.82416, -73.94623"
96,West Village,"40.73726, -74.00085"
97,East Village,"40.72384, -73.98791"
98,Midtown,"40.74875, -73.98675"
99,Kips Bay,"40.74411, -73.98011"
100,West Village,"40.73612, -74.00591"
101,West Village,"40.73264, -74.0062"
102,East Harlem,"40.80714, -73.93747"
103,Hell's Kitchen,"40.75591, -73.99499"
104,Upper East Side,"40.77081, -73.95216"
105,Washington Heights,"40.84377, -73.93666"
106,SoHo,"40.72345, -73.99943"
107,Upper West Side,"40.7894, -73.97381"
108,East Harlem,"40.79966, -73.94191"
109,Theater District,"40.75628, -73.98356"
110,Lower East Side,"40.71867, -73.98612"
111,Harlem,"40.81618, -73.94517"
112,Midtown,"40.75294, -73.97105"
113,Two Bridges,"40.71155, -73.99712"
114,Harlem,"40.80252, -73.9547"
115,East Harlem,"40.78719, -73.95201"
116,SoHo,"40.72513, -74.00329"
117,Midtown,"40.75508, -73.96707"
118,Upper East Side,"40.76965, -73.95326"
119,Harlem,"40.80819, -73.94315"
120,Upper West Side,"40.79282, -73.97353"
121,East Harlem,"40.80038, -73.94602"
122,West Village,"40.73692, -74.00531"
123,Upper East Side,"40.77891, -73.9484"
124,Gramercy,"40.73568, -73.97998"
125,East Harlem,"40.79618, -73.94142"
126,Upper East Side,"40.76767, -73.95609"
127,Theater District,"40.76155, -73.98619"
128,Hell's Kitchen,"40.76454, -73.99114"
129,Washington Heights,"40.83355, -73.93839"
130,Harlem,"40.80872, -73.94228"
131,Harlem,"40.8014, -73.95469"
132,Harlem,"40.80713, -73.9542"
133,East Village,"40.72256, -73.98544"
134,Midtown,"40.75241, -73.97081"
135,Upper West Side,"40.78936, -73.97502"
136,Midtown,"40.75368, -73.97358"
137,Battery Park City,"40.70515, -74.01851"
138,Washington Heights,"40.84198, -73.93816"
139,Financial District,"40.70825, -74.00482"
140,Kips Bay,"40.74229, -73.98165"
141,SoHo,"40.71927, -73.99943"
142,Upper East Side,"40.77919, -73.95182"
143,Washington Heights,"40.84232, -73.93772"
144,Washington Heights,"40.83279, -73.94174"
145,Upper East Side,"40.77528, -73.95238"
146,Upper West Side,"40.7886, -73.97553"
147,Lower East Side,"40.7196, -73.98133"
148,Midtown,"40.75377, -73.96609"
149,Hell's Kitchen,"40.76536, -73.98866"
150,West Village,"40.73752, -74.00113"
151,East Village,"40.73123, -73.98655"
152,Chelsea,"40.74303, -73.99727"
153,East Harlem,"40.79508, -73.93256"
154,Financial District,"40.7057, -74.01221"
155,Upper East Side,"40.76883, -73.95353"
156,Upper West Side,"40.77769, -73.97953"
157,East Harlem,"40.79078, -73.94547"
158,Gramercy,"40.7382, -73.98301"
159,Harlem,"40.81173, -73.94213"
160,East Harlem,"40.80589, -73.9414"
161,Lower East Side,"40.71934, -73.98172"
162,Hell's Kitchen,"40.76476, -73.99453"
163,Lower East Side,"40.72173, -73.9918"
164,Chelsea,"40.74903, -73.99198"
165,Financial District,"40.70563, -74.01106"
166,East Harlem,"40.81357, -73.93575"
167,Morningside Heights,"40.81454, -73.96086"
168,East Harlem,"40.7895, -73.9441"
169,East Harlem,"40.80023, -73.93822"
170,Upper West Side,"40.80092, -73.96195"
171,Murray Hill,"40.74735, -73.97671"
172,Hell's Kitchen,"40.76403, -73.98913"
173,Upper West Side,"40.77593, -73.97699"
174,East Village,"40.72709, -73.98582"
175,East Village,"40.72783, -73.98015"
176,Upper West Side,"40.80078, -73.9641"
177,Upper East Side,"40.77686, -73.95084"
178,East Village,"40.73303, -73.98955"
179,East Harlem,"40.79234, -73.94145"
180,East Village,"40.72369, -73.9753"
181,Upper East Side,"40.77166, -73.94665"
182,East Harlem,"40.78722, -73.94482"
183,Financial District,"40.70819, -74.00662"
184,Murray Hill,"40.74956, -73.97714"
185,Upper West Side,"40.80237, -73.96695"
186,Theater District,"40.75965, -73.98582"
187,East Village,"40.72791, -73.98485"
188,Midtown,"40.7606, -73.97181"
189,Hell's Kitchen,"40.76663, -73.9895"
190,Lower East Side,"40.71814, -73.99166"
191,Midtown,"40.76448, -73.97907"
192,Washington Heights,"40.85509, -73.93744"
193,Harlem,"40.82173, -73.94831"
194,Lower East Side,"40.71973, -73.98993"
195,Upper West Side,"40.77969, -73.97862"
196,Midtown,"40.76434, -73.98199"
197,Hell's Kitchen,"40.76522, -73.99486"
198,Harlem,"40.80269, -73.94637"
199,Washington Heights,"40.84959, -73.93911"
200,Chelsea,"40.74826, -73.98928"
201,Upper East Side,"40.76513, -73.96583"
202,Upper West Side,"40.79481, -73.97432"
203,Hell's Kitchen,"40.75431, -73.99459"
204,Morningside Heights,"40.80395, -73.96436"
205,East Village,"40.72919, -73.97894"
206,Hell's Kitchen,"40.76557, -73.9909"
207,Gramercy,"40.7358, -73.9806"
208,Upper East Side,"40.77948, -73.95152"
209,East Village,"40.72853, -73.98619"
210,Upper West Side,"40.77547, -73.98154"
211,Chinatown,"40.71848, -73.99549"
212,Upper West Side,"40.78116, -73.98104"
213,Hell's Kitchen,"40.76125, -73.98945"
214,Washington Heights,"40.85677, -73.93715"
215,Hell's Kitchen,"40.76152, -73.98959"
216,Lower East Side,"40.71734, -73.99071"
217,East Harlem,"40.80266, -73.93904"
218,Chelsea,"40.74458, -74.00644"
219,Harlem,"40.82896, -73.94223"
220,Morningside Heights,"40.80466, -73.96529"
221,Harlem,"40.82457, -73.94984"
222,Financial District,"40.70471, -74.0087"
223,Midtown,"40.74933, -73.98467"
224,Harlem,"40.82112, -73.94962"
225,Kips Bay,"40.74214, -73.98048"
226,Upper West Side,"40.79794, -73.97188"
227,Lower East Side,"40.71977, -73.98423"
228,Chelsea,"40.74787, -74.00088"
229,Washington Heights,"40.83799, -73.94036"
230,Financial District,"40.70402, -74.01572"
231,Washington Heights,"40.84901, -73.93859"
232,Kips Bay,"40.73865, -73.9788"
233,Upper West Side,"40.78762, -73.96827"
234,Upper East Side,"40.77574, -73.94638"
235,Upper East Side,"40.76141, -73.96273"
236,East Village,"40.72714, -73.98279"
237,Harlem,"40.80761, -73.95416"
238,Midtown,"40.75417, -73.96437"
239,Harlem,"40.81086, -73.94037"
240,Upper West Side,"40.77734, -73.9877"
241,Financial District,"40.70721, -74.01044"
242,Harlem,"40.80672, -73.95404"
243,Chelsea,"40.73974, -73.99563"
244,NoHo,"40.72612, -73.99494"
245,East Village,"40.72354, -73.98295"
246,Midtown,"40.75359, -73.97305"
247,Little Italy,"40.71878, -73.99808"
248,Harlem,"40.81949, -73.95676"
249,Hell's Kitchen,"40.76609, -73.99305"
250,Upper West Side,"40.79577, -73.97403"
251,Harlem,"40.82722, -73.9457"
252,Financial District,"40.70584, -74.01039"
253,Lower East Side,"40.72165, -73.98573"
254,Harlem,"40.82388, -73.95527"
255,Midtown,"40.75379, -73.96433"
256,Murray Hill,"40.74882, -73.98041"
257,Midtown,"40.7654, -73.98039"
258,Upper East Side,"40.77372, -73.94986"
259,SoHo,"40.72177, -74.00356"
260,Chelsea,"40.74453, -73.99196"
261,Midtown,"40.75136, -73.97076"
262,Hell's Kitchen,"40.76039, -73.99028"
263,Upper West Side,"40.76946, -73.986"
264,Lower East Side,"40.72131, -73.98541"
265,Hell's Kitchen,"40.75578, -73.99523"
266,Upper East Side,"40.77257, -73.94616"
267,Midtown,"40.75004, -73.97089"
268,East Harlem,"40.79018, -73.94689"
269,Financial District,"40.70857, -74.01005"
270,East Village,"40.7267, -73.97965"
271,Chinatown,"40.71668, -73.99073"
272,Harlem,"40.80604, -73.94971"
273,West Village,"40.73267, -74.00379"
274,Midtown,"40.74642, -73.98516"
275,Nolita,"40.72315, -73.99507"
276,Two Bridges,"40.71253, -73.99586"
277,Kips Bay,"40.7441, -73.97683"
278,Greenwich Village,"40.72848, -74.00269"
279,Upper East Side,"40.77299, -73.95745"
280,Morningside Heights,"40.80902, -73.96716"
281,East Village,"40.72816, -73.98843"
282,East Harlem,"40.79496, -73.94838"
283,Upper East Side,"40.763, -73.96044"
284,East Harlem,"40.8009, -73.94333"
285,Hell's Kitchen,"40.76382, -73.98815"
286,Hell's Kitchen,"40.76206, -73.99775"
287,Greenwich Village,"40.7324, -73.99708"
288,SoHo,"40.7244, -74.00681"
289,Midtown,"40.75455, -73.9695"
290,Upper West Side,"40.80155, -73.96498"
291,Two Bridges,"40.7116, -73.99568"
292,Harlem,"40.81221, -73.94225"
293,East Village,"40.7269, -73.98368"
294,East Harlem,"40.79505, -73.94361"
295,Lower East Side,"40.71867, -73.98959"
296,Harlem,"40.79841, -73.95257"
297,Harlem,"40.82375, -73.94426"
298,East Village,"40.72552, -73.97879"
299,Harlem,"40.81238, -73.95319"
300,Murray Hill,"40.74917, -73.97549"
301,Hell's Kitchen,"40.75753, -73.99701"
302,West Village,"40.72999, -74.00475"
303,East Village,"40.72425, -73.98976"
304,Midtown,"40.7652, -73.98174"
305,Harlem,"40.80403, -73.95615"
306,Hell's Kitchen,"40.76075, -73.99837"
307,Financial District,"40.70521, -74.00678"
308,Gramercy,"40.73517, -73.98176"
309,Harlem,"40.81083, -73.95248"
310,Upper East Side,"40.77176, -73.94943"
311,East Village,"40.72814, -73.97995"
312,West Village,"40.73514, -73.99954"
313,Harlem,"40.80114, -73.95696"
314,East Village,"40.72704, -73.98916"
315,Tribeca,"40.72075, -74.00982"
316,Midtown,"40.76402, -73.97453"
317,Harlem,"40.81711, -73.93563"
318,Kips Bay,"40.73909, -73.9788"
319,Hell's Kitchen,"40.76062, -73.99349"
320,Theater District,"40.75491, -73.98507"
321,SoHo,"40.72735, -74.00131"
322,East Village,"40.72853, -73.98762"
323,Upper West Side,"40.79896, -73.96183"
324,Upper West Side,"40.78747, -73.96844"
325,Lower East Side,"40.71746, -73.98782"
326,Kips Bay,"40.74108, -73.97788"
327,Upper West Side,"40.79307, -73.97449"
328,Upper East Side,"40.77233, -73.95627"
329,Midtown,"40.74677, -73.9866"
330,Harlem,"40.80968, -73.94425"
331,Upper West Side,"40.78561, -73.97637"
332,Lower East Side,"40.71984, -73.9865"
333,Upper East Side,"40.77315, -73.95848"
334,Chinatown,"40.71879, -73.99586"
335,Upper East Side,"40.77421, -73.95361"
336,Harlem,"40.83021, -73.94765"
337,Midtown,"40.75734, -73.96429"
338,Hell's Kitchen,"40.76299, -73.99478"
339,Murray Hill,"40.74785, -73.96967"
340,West Village,"40.73207, -74.01087"
341,East Village,"40.7316, -73.98543"
342,East Harlem,"40.79383, -73.94968"
343,Hell's Kitchen,"40.76116, -73.99016"
344,Midtown,"40.75604, -73.9681"
345,Upper West Side,"40.79982, -73.96411"
346,Midtown,"40.75726, -73.96671"
347,Washington Heights,"40.85167, -73.92868"
348,Chelsea,"40.74679, -74.00263"
349,Upper West Side,"40.76877, -73.9846"
350,East Harlem,"40.78551, -73.94167"
351,West Village,"40.73086, -74.00507"
352,Upper West Side,"40.79672, -73.96169"
353,Greenwich Village,"40.73056, -73.99357"
354,Upper East Side,"40.77065, -73.95495"
355,Harlem,"40.81296, -73.94625"
356,Murray Hill,"40.74987, -73.97293"
357,SoHo,"40.72254, -73.99985"
358,Hell's Kitchen,"40.7586, -73.98974"
359,Gramercy,"40.73558, -73.9852"
360,Inwood,"40.86529, -73.92213"
361,Harlem,"40.82722, -73.9431"
362,Upper West Side,"40.77104, -73.98522"
363,West Village,"40.73723, -74.00845"
364,Midtown,"40.74789, -73.98702"
365,Hell's Kitchen,"40.76212, -73.99756"
366,Midtown,"40.75754, -73.96177"
367,Upper East Side,"40.76408, -73.95686"
368,East Village,"40.72951, -73.98239"
369,Lower East Side,"40.71852, -73.99067"
370,Gramercy,"40.73395, -73.9821"
371,Midtown,"40.75283, -73.96675"
372,Washington Heights,"40.85394, -73.92972"
373,Murray Hill,"40.74787, -73.97457"
374,Greenwich Village,"40.72817, -73.9958"
375,Midtown,"40.75613, -73.97056"
376,Chelsea,"40.74101, -73.99471"
377,Harlem,"40.80646, -73.9517"
378,Chelsea,"40.74873, -73.99557"
379,East Harlem,"40.7958, -73.93186"
380,Chelsea,"40.7476, -73.99348"
381,Hell's Kitchen,"40.75718, -73.99245"
382,Upper East Side,"40.77713, -73.95309"
383,Upper West Side,"40.79908, -73.96465"
384,East Village,"40.72213, -73.98122"
385,Chelsea,"40.75272, -73.99682"
386,Upper East Side,"40.77389, -73.951"
387,Upper West Side,"40.79812, -73.96082"
388,Kips Bay,"40.74142, -73.98219"
389,Washington Heights,"40.85257, -73.94161"
390,Upper East Side,"40.77275, -73.94917"
391,Hell's Kitchen,"40.75429, -73.99198"
392,Upper West Side,"40.79103, -73.97632"
393,Hell's Kitchen,"40.76685, -73.98363"
394,Upper West Side,"40.7987, -73.9621"
395,Chelsea,"40.74194, -73.99914"
396,Washington Heights,"40.85845, -73.92861"
397,Harlem,"40.80526, -73.95509"
398,Upper West Side,"40.8013, -73.96669"
399,Inwood,"40.86859, -73.91948"
400,Upper West Side,"40.79951, -73.96436"
401,Upper West Side,"40.78707, -73.9769"
402,Harlem,"40.80577, -73.9448"
403,Murray Hill,"40.74763, -73.97316"
404,Hell's Kitchen,"40.76612, -73.98749"
405,Hell's Kitchen,"40.76457, -73.99082"
406,Inwood,"40.86507, -73.92348"
407,Harlem,"40.80136, -73.95476"
408,Chelsea,"40.74512, -73.99179"
409,Tribeca,"40.71626, -74.00694"
410,Hell's Kitchen,"40.769, -73.98757"
411,Harlem,"40.81955, -73.95587"
412,East Village,"40.7254, -73.98157"
413,Harlem,"40.80367, -73.94803"
414,Upper West Side,"40.79806, -73.96167"
415,Kips Bay,"40.74256, -73.97912"
416,Washington Heights,"40.83873, -73.94118"
417,Harlem,"40.80903, -73.94197"
418,Lower East Side,"40.71909, -73.9865"
419,East Village,"40.72713, -73.98402"
420,Chinatown,"40.71328, -73.99315"
421,Upper East Side,"40.77202, -73.95821"
422,Chelsea,"40.73887, -74.00011"
423,East Village,"40.72174, -73.98418"
424,Upper East Side,"40.78281, -73.94516"
425,Washington Heights,"40.83333, -73.94182"
426,Harlem,"40.80708, -73.95211"
427,East Village,"40.73226, -73.98688"
428,Tribeca,"40.71734, -74.00858"
429,Financial District,"40.70822, -74.00885"
430,Upper East Side,"40.77138, -73.94973"
431,Hell's Kitchen,"40.75427, -73.9928"
432,Upper West Side,"40.76986, -73.98197"
433,Lower East Side,"40.71484, -73.98977"
434,Midtown,"40.76575, -73.98168"
435,Chelsea,"40.73986, -74.00035"
436,Harlem,"40.81968, -73.95353"
437,Morningside Heights,"40.80504, -73.96454"
438,Upper East Side,"40.76969, -73.95509"
439,Hell's Kitchen,"40.75679, -73.99547"
440,Upper West Side,"40.79728, -73.97348"
441,SoHo,"40.7244, -73.99763"
442,Upper West Side,"40.77212, -73.98641"
443,Midtown,"40.75967, -73.96595"
444,Hell's Kitchen,"40.76764, -73.98468"
445,Harlem,"40.81915, -73.9425"
446,Flatiron District,"40.74095, -73.98554"
447,Morningside Heights,"40.81633, -73.96147"
448,East Village,"40.72369, -73.98998"
449,East Harlem,"40.7884, -73.94533"
450,East Village,"40.72301, -73.98347"
451,East Village,"40.72795, -73.98567"
452,East Village,"40.72338, -73.98293"
453,Harlem,"40.8197, -73.94576"
454,Hell's Kitchen,"40.76295, -73.99432"
455,Chelsea,"40.74183, -73.99878"
456,Murray Hill,"40.74637, -73.97469"
457,Harlem,"40.81303, -73.95285"
458,Hell's Kitchen,"40.76404, -73.98873"
459,Murray Hill,"40.75048, -73.97776"
460,Harlem,"40.82375, -73.95379"
461,Greenwich Village,"40.72836, -73.99961"
462,East Village,"40.72626, -73.9894"
463,Hell's Kitchen,"40.76714, -73.99229"
464,Kips Bay,"40.74047, -73.98381"
465,East Village,"40.72696, -73.98406"
466,Harlem,"40.81863, -73.95771"
467,Washington Heights,"40.84203, -73.93985"
468,Upper East Side,"40.77756, -73.94859"
469,Murray Hill,"40.74422, -73.97261"
470,East Village,"40.72402, -73.98771"
471,Chinatown,"40.71837, -73.99633"
472,Upper West Side,"40.79009, -73.97927"
473,Hell's Kitchen,"40.76103, -73.99745"
474,Lower East Side,"40.71873, -73.98553"
475,Harlem,"40.81232, -73.94112"
476,Upper West Side,"40.79864, -73.96364"
477,Roosevelt Island,"40.76074, -73.94943"
478,Hell's Kitchen,"40.7645, -73.98788"
479,Upper West Side,"40.78635, -73.97008"
480,Harlem,"40.82978, -73.94823"
481,Harlem,"40.81658, -73.938"
482,Harlem,"40.80397, -73.95615"
483,Upper West Side,"40.77817, -73.97844"
484,Inwood,"40.85962, -73.92971"
485,Inwood,"40.86794, -73.91629"
486,Flatiron District,"40.73949, -73.98552"
487,Lower East Side,"40.71887, -73.99256"
488,Financial District,"40.70782, -74.01525"
489,Lower East Side,"40.71117, -73.98727"
490,Harlem,"40.80187, -73.94705"
491,Harlem,"40.81748, -73.94484"
492,Hell's Kitchen,"40.76326, -73.98582"
493,East Village,"40.72785, -73.97976"
494,Morningside Heights,"40.8045, -73.96383"
495,Harlem,"40.82453, -73.93952"
496,East Village,"40.73033, -73.98518"
497,Washington Heights,"40.85075, -73.93982"
498,West Village,"40.73291, -74.00916"
499,Nolita,"40.72051, -73.99513"
500,Chelsea,"40.74186, -74.00372"
501,West Village,"40.73477, -74.00275"
502,Harlem,"40.80446, -73.95786"
503,Upper East Side,"40.77242, -73.96212"
504,Upper East Side,"40.77694, -73.94994"
505,Upper West Side,"40.78333, -73.98089"
506,Chelsea,"40.74753, -74.00396"
507,Lower East Side,"40.71276, -73.98488"
508,Midtown,"40.75381, -73.96724"
509,East Village,"40.72399, -73.98134"
510,Harlem,"40.82749, -73.94329"
511,Hell's Kitchen,"40.7624, -73.99915"
512,East Village,"40.7291, -73.98628"
513,Lower East Side,"40.71187, -73.98878"
514,Hell's Kitchen,"40.76957, -73.99292"
515,Chinatown,"40.71676, -73.99348"
516,Upper East Side,"40.77944, -73.95296"
517,Gramercy,"40.73828, -73.98954"
518,Little Italy,"40.7185, -73.99805"
519,Hell's Kitchen,"40.76326, -73.99142"
520,Chinatown,"40.71595, -73.98993"
521,Roosevelt Island,"40.76882, -73.94315"
522,Harlem,"40.80986, -73.95349"
523,Harlem,"40.82521, -73.94037"
524,Morningside Heights,"40.81548, -73.95931"
525,Financial District,"40.70624, -74.01076"
526,Upper East Side,"40.7613, -73.96152"
527,Hell's Kitchen,"40.75928, -73.99036"
528,Harlem,"40.80597, -73.95348"
529,Upper West Side,"40.77757, -73.97932"
530,Harlem,"40.81668, -73.94407"
531,Midtown,"40.75166, -73.97323"
532,Upper West Side,"40.76923, -73.98627"
533,East Village,"40.72936, -73.98298"
534,Upper East Side,"40.76715, -73.95857"
535,Hell's Kitchen,"40.7572, -73.99482"
536,East Harlem,"40.796, -73.94863"
537,Hell's Kitchen,"40.7633, -73.99716"
538,Chelsea,"40.74564, -74.0006"
539,Hell's Kitchen,"40.7672, -73.98508"
540,Harlem,"40.80436, -73.94865"
541,East Village,"40.73182, -73.9845"
542,East Harlem,"40.79834, -73.94337"
543,Harlem,"40.82183, -73.9378"
544,Upper West Side,"40.77873, -73.97845"
545,East Village,"40.72499, -73.98867"
546,Theater District,"40.76035, -73.98189"
547,Harlem,"40.82879, -73.93821"
548,Upper East Side,"40.77964, -73.95474"
549,Theater District,"40.76113, -73.98557"
550,Harlem,"40.81142, -73.95134"
551,Nolita,"40.72222, -73.99443"
552,Inwood,"40.86439, -73.92302"
553,Midtown,"40.75047, -73.96935"
554,Hell's Kitchen,"40.76577, -73.98482"
555,Chelsea,"40.74214, -73.99912"
556,East Village,"40.72232, -73.98543"
557,Upper East Side,"40.7786, -73.95208"
558,Upper West Side,"40.7706, -73.98919"
559,Harlem,"40.80693, -73.94831"
560,Chelsea,"40.74443, -74.0029"
561,Harlem,"40.82296, -73.94545"
562,Chelsea,"40.74372, -73.99682"
563,Harlem,"40.80843, -73.94125"
564,Harlem,"40.82119, -73.95556"
565,Midtown,"40.75471, -73.98781"
566,Inwood,"40.8678, -73.92619"
567,East Village,"40.72688, -73.98546"
568,Lower East Side,"40.71991, -73.98832"
569,Chelsea,"40.74738, -74.00134"
570,Murray Hill,"40.74853, -73.98192"
571,Midtown,"40.7671, -73.98148"
572,Murray Hill,"40.74789, -73.98057"
573,Chelsea,"40.7438, -73.99751"
574,East Harlem,"40.78907, -73.94877"
575,Harlem,"40.81325, -73.95323"
576,Upper East Side,"40.769, -73.9541"
577,Upper West Side,"40.78469, -73.9738"
578,Greenwich Village,"40.73486, -73.99843"
579,East Village,"40.72291, -73.98447"
580,Washington Heights,"40.84114, -73.93639"
581,Harlem,"40.81529, -73.94367"
582,Chelsea,"40.74572, -73.99637"
583,Tribeca,"40.72008, -74.0043"
584,Flatiron District,"40.74191, -73.99011"
585,Washington Heights,"40.84697, -73.93776"
586,Little Italy,"40.71843, -73.99817"
587,Upper West Side,"40.78245, -73.98163"
588,Hell's Kitchen,"40.75912, -73.98985"
589,Upper West Side,"40.78641, -73.97739"
590,Hell's Kitchen,"40.76092, -73.9922"
591,Washington Heights,"40.851, -73.93141"
592,Upper West Side,"40.77205, -73.98924"
593,Upper West Side,"40.80212, -73.9692"
594,East Village,"40.72693, -73.98374"
595,Hell's Kitchen,"40.7592, -73.99133"
596,Hell's Kitchen,"40.76354, -73.99283"
597,Harlem,"40.80745, -73.94353"
598,East Harlem,"40.80619, -73.94174"
599,SoHo,"40.72767, -74.00344"
600,Hell's Kitchen,"40.75506, -73.99715"
601,Chelsea,"40.74836, -73.99031"
602,Upper East Side,"40.78306, -73.94581"
603,Kips Bay,"40.74423, -73.97614"
604,Upper East Side,"40.76141, -73.96265"
605,Washington Heights,"40.83482, -73.94617"
606,Harlem,"40.83141, -73.94722"
607,Upper East Side,"40.76928, -73.96163"
608,Lower East Side,"40.72075, -73.98733"
609,Harlem,"40.82604, -73.94998"
610,East Harlem,"40.80764, -73.93963"
611,Murray Hill,"40.74696, -73.9746"
612,West Village,"40.73162, -74.00928"
613,Upper East Side,"40.77198, -73.95003"
614,West Village,"40.73178, -74.00173"
615,Harlem,"40.81051, -73.94723"
616,Upper West Side,"40.7816, -73.97548"
617,Chelsea,"40.74303, -73.99797"
618,Lower East Side,"40.71477, -73.98575"
619,Hell's Kitchen,"40.76386, -73.99707"
620,Midtown,"40.74992, -73.98772"
621,Gramercy,"40.7348, -73.98312"
622,Hell's Kitchen,"40.75478, -73.99604"
623,West Village,"40.73634, -74.00485"
624,Upper East Side,"40.77163, -73.94897"
625,Lower East Side,"40.7212, -73.98893"
626,Kips Bay,"40.73772, -73.98025"
627,East Village,"40.72128, -73.97899"
628,Hell's Kitchen,"40.7616, -73.99042"
629,Upper East Side,"40.77199, -73.94929"
630,Washington Heights,"40.84531, -73.93583"
631,Lower East Side,"40.71975, -73.98608"
632,Harlem,"40.82153, -73.95512"
633,West Village,"40.73855, -74.00125"
634,Harlem,"40.8127, -73.95004"
635,Chelsea,"40.75066, -74.00377"
636,Harlem,"40.81245, -73.95131"
637,Upper West Side,"40.80222, -73.96763"
638,Washington Heights,"40.83473, -73.93982"
639,Hell's Kitchen,"40.75749, -73.99657"
640,East Harlem,"40.79153, -73.94138"
641,Chelsea,"40.74081, -73.99616"
642,Hell's Kitchen,"40.76256, -73.98935"
643,West Village,"40.73993, -74.00619"
644,Midtown,"40.75669, -73.9666"
645,Hell's Kitchen,"40.76476, -73.99011"
646,Hell's Kitchen,"40.76732, -73.98482"
647,East Village,"40.73016, -73.98171"
648,Washington Heights,"40.83537, -73.93974"
649,Harlem,"40.82698, -73.93871"
650,Upper West Side,"40.79401, -73.96432"
651,Kips Bay,"40.74581, -73.9784"
652,Upper West Side,"40.7983, -73.96115"
653,Upper East Side,"40.77977, -73.95757"
654,West Village,"40.73519, -74.00642"
655,Chelsea,"40.75032, -73.99676"
656,Upper East Side,"40.77043, -73.9515"
